date,MMWR_week,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Administered_Dose1_Pop_Pct,Administered_daily_change_report,Administered_daily_change_report_7dayroll,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,Series_Complete_Pop_Pct,Booster_Daily,Booster_Cumulative,Booster_7_Day_Rolling_Average,Additional_Doses_Vax_Pct,Second_Booster_50Plus_Daily,Second_Booster_50Plus_Cumulative,Second_Booster_50Plus_7_Day_Rolling_Average,Second_Booster_50Plus_Vax_Pct,Bivalent_Booster_Daily,Bivalent_Booster_Cumulative,Bivalent_Booster_7_Day_Rolling_Average,Bivalent_Booster_Pop_Pct,AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Administered_Daily_Pct,Series_Complete_Daily_Pct,Series_Complete_Ratio,Booster_Daily_Pct,Booster_Ratio
2021-01-02,6360,1102380,20913763,1518455.0,517220,11878080,857746.0,210.53,536947.0,1518455.0,6208,118841,9805.0,0.6000000000000001,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,<2 Years,15.881279417072951,0.0,0.0,5.271074363805309,5.223786403682231,0.005631451949418531,,0.0
2021-01-02,6360,1102380,20913763,1518455.0,517220,11878080,857746.0,210.53,536947.0,1518455.0,6208,118841,9805.0,0.6000000000000001,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,65+ Years,56.08393299651527,0.017,0.0,5.271074363805309,5.223786403682231,0.005631451949418531,,0.0
2021-01-03,120,651543,21565306,1566341.0,266652,12144732,869115.0,215.16,282201.0,1566341.0,5175,124016,10315.0,0.6000000000000001,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,65+ Years,56.618012838692735,0.017,0.0,3.0212555295992556,4.172848664688427,0.007942683752261937,,0.0
2021-01-03,120,651543,21565306,1566341.0,266652,12144732,869115.0,215.16,282201.0,1566341.0,5175,124016,10315.0,0.6000000000000001,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,50 - 64 Years,70.59824053322798,0.028,0.0,3.0212555295992556,4.172848664688427,0.007942683752261937,,0.0
2021-01-03,120,651543,21565306,1566341.0,266652,12144732,869115.0,215.16,282201.0,1566341.0,5175,124016,10315.0,0.6000000000000001,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,25 - 49 Years,82.24391900726668,0.028,0.0,3.0212555295992556,4.172848664688427,0.007942683752261937,,0.0
2021-01-03,120,651543,21565306,1566341.0,266652,12144732,869115.0,215.16,282201.0,1566341.0,5175,124016,10315.0,0.6000000000000001,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,18 - 24 Years,86.4436061906174,0.009,0.0,3.0212555295992556,4.172848664688427,0.007942683752261937,,0.0
2021-01-03,120,651543,21565306,1566341.0,266652,12144732,869115.0,215.16,282201.0,1566341.0,5175,124016,10315.0,0.6000000000000001,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,12 - 17 Years,52.74546016286695,0.0,0.0,3.0212555295992556,4.172848664688427,0.007942683752261937,,0.0
2021-01-03,120,651543,21565306,1566341.0,266652,12144732,869115.0,215.16,282201.0,1566341.0,5175,124016,10315.0,0.6000000000000001,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,5 - 11 Years,30.15377375008307,0.0,0.0,3.0212555295992556,4.172848664688427,0.007942683752261937,,0.0
2021-01-03,120,651543,21565306,1566341.0,266652,12144732,869115.0,215.16,282201.0,1566341.0,5175,124016,10315.0,0.6000000000000001,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,2 - 4 Years,30.87722659052534,0.0,0.0,3.0212555295992556,4.172848664688427,0.007942683752261937,,0.0
2021-01-03,120,651543,21565306,1566341.0,266652,12144732,869115.0,215.16,282201.0,1566341.0,5175,124016,10315.0,0.6000000000000001,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,<2 Years,16.247875276657574,0.0,0.0,3.0212555295992556,4.172848664688427,0.007942683752261937,,0.0
